tag,method,path,operationId,auth,param_count,request_body,success_codes,summary,response_schemas
notifications,POST,/api-v2/notifications/send-email,EmailController_sendEmail,Yes,0,application/json:SendEmailMessageValidation,201,,201=>application/json:object
ocr-integration,GET,/api-v2/ocr-integration/invoice_template,OCRIntegrationController_getInvoiceTemplates,Yes,0,,200,,200=>application/json:object
ocr-integration,GET,/api-v2/ocr-integration/invoice_template/{id},OCRIntegrationController_getCompletedInvoiceTemplateById,Yes,1,,200,,200=>application/json:object
ocr-integration,POST,/api-v2/ocr-integration,OCRIntegrationController_create,Yes,0,application/json:OCRIntegrationValidation,201,,201=>application/json:object
ocr-integration,POST,/api-v2/ocr-integration/invoice_template/{id}/consume,OCRIntegrationController_consumeInvoiceTemplate,Yes,1,,201,,201=>application/json:object
ocr-integration,POST,/api-v2/ocr-integration/webhook,OCRIntegrationController_webhook,Yes,0,,201,,201=>application/json:object
offices,GET,/api-v2/offices,OfficesController_getAll,Yes,7,,200,,200=>application/json:array<OfficeDTO>
offices,GET,/api-v2/offices/amenities,OfficesController_getAmenities,Yes,3,,200,,200=>application/json:object
offices,GET,/api-v2/offices/feed/ZIF.xml,OfficesController_sendOfficeZIFXML,Yes,0,,200,,200=>application/json:object
offices,GET,/api-v2/offices/filters,OfficesController_getOfficeFilters,Yes,1,,200,,200=>application/json:object
offices,GET,/api-v2/offices/listings,OfficesController_getOfficesListing,Yes,7,,200,,200=>application/json:object
offices,GET,/api-v2/offices/listings/available-types,OfficesController_getAvailableTypes,Yes,0,,200,,200=>application/json:object
offices,GET,/api-v2/offices/listings/{id},OfficesController_getOfficeListingById,Yes,1,,200,,200=>application/json:object
offices,GET,/api-v2/offices/location-history,OfficesController_getAllOfficesHistoryByDate,Yes,2,,200,,200=>application/json:object
offices,GET,/api-v2/offices/location/{id},OfficesController_getOfficesByLocation,Yes,1,,200,,200=>application/json:object
offices,GET,/api-v2/offices/location/{id}/available,OfficesController_getAvailableOfficesByLocation,Yes,1,,200,,200=>application/json:object
offices,GET,/api-v2/offices/location/{id}/available-soon,OfficesController_findAllLeaseEndingOfficesByLocations,Yes,2,,200,,200=>application/json:object
offices,GET,/api-v2/offices/office-entry-report,OfficesController_getOfficeEntryReport,Yes,1,,200,,200=>application/json:object
offices,GET,/api-v2/offices/years,OfficesController_getMoveInYears,Yes,1,,200,,200=>application/json:object
offices,GET,/api-v2/offices/{id},OfficesController_getOfficeById,Yes,1,,200,,200=>application/json:object
offices,POST,/api-v2/offices/amenities,OfficesController_createAmenity,Yes,0,application/json:CreateAmenityValidation,201,,201=>application/json:object
offices,POST,/api-v2/offices/{id},OfficesController_updateMarketingInformation,Yes,1,application/json:UpdateOffice,201,,201=>application/json:object
offices-history,GET,/api-v2/offices-history/by-date/{groupby},OfficesHistoryController_getAllOfficesHistoryByDate,Yes,3,,200,,200=>application/json:object
offices-history,GET,/api-v2/offices-history/dashboard-move-in-out,OfficesHistoryController_getDashboardMoveInOut,Yes,3,,200,,200=>application/json:object
offices-history,GET,/api-v2/offices-history/occupied-offices,OfficesHistoryController_getOldOccupiedOffices,Yes,1,,200,,200=>application/json:object
offices-history,GET,/api-v2/offices-history/turnover-report,OfficesHistoryController_getTurnoverReport,Yes,3,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/consolidated-sales-report,OfficesReportController_getConsolidatedSalesReport,Yes,3,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/contract-value-report,OfficesReportController_getContractValueReport,Yes,3,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/lease-report,OfficesReportController_getLeaseReport,Yes,1,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/office-entry-report,OfficesReportController_getOfficeEntryReport,Yes,1,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/rent-change-report,OfficesReportController_getRentChangeReport,Yes,3,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/sales-report,OfficesReportController_getSalesReport,Yes,3,,200,,200=>application/json:object
